ID,Text,Date,User Name,Screen Name,Profile Picture,Positivity,Technicality,Relevancy
1215759773208957000,@WhiteShaq3 @MapleLeafs @SanJoseSharks @FloridaPanthers @BMO @RBC @MitchMarner93 @YotesFoundation @WayneGretzky @NYRangers @NHL @clagaryflames @EdmontonOilers @cmcdavid97 @vegasknights @GoldenKnights @CanadiensMTL @GaryBettman checks deal for ludicrous viscosity. Finds dragon for ethics breach. Punishes dragon into Seattle gm position. Dragon hires bench boss @ZachBoychuk,Fri Jan 10 22:18:12 +0000 2020,JoDragon,JoDragon9,http://pbs.twimg.com/profile_images/1215857114456788992/1sD_zCzw_normal.jpg,0,0,0
1215759187818320000,@WhiteShaq3 @MapleLeafs @SanJoseSharks @FloridaPanthers @BMO @RBC @MitchMarner93 @YotesFoundation @WayneGretzky @NYRangers @NHL @clagaryflames @EdmontonOilers @cmcdavid97 @vegasknights @GoldenKnights @CanadiensMTL Price taveres and Marner go to Edmonton from Vegas for draistl and Macdavid,Fri Jan 10 22:15:52 +0000 2020,JoDragon,JoDragon9,http://pbs.twimg.com/profile_images/1215857114456788992/1sD_zCzw_normal.jpg,0,0,0
1215758889146187800,@WhiteShaq3 @MapleLeafs @SanJoseSharks @FloridaPanthers @BMO @RBC @MitchMarner93 @YotesFoundation @WayneGretzky @NYRangers @NHL @clagaryflames @EdmontonOilers @cmcdavid97 @vegasknights @GoldenKnights send Fleury to @CanadiensMTL for Price straight across with commerative full back of dragon head pucks,Fri Jan 10 22:14:41 +0000 2020,JoDragon,JoDragon9,http://pbs.twimg.com/profile_images/1215857114456788992/1sD_zCzw_normal.jpg,0,0,0
1215758859588915200,"The biggest gathering of Canadian Small and Medium Enterprises taking place on January 20, 2020 @mtcc at @canadian_sme Business Expo 2020.Few booths left, book yours now. Visit https://t.co/98KE24MoA4 #smeexpo #SmallBiz #canadiansme #canada@LenovoCanada @CiscoCanada @RBC https://t.co/sHjSHC8fvc",Fri Jan 10 22:14:34 +0000 2020,CanadianSME,canadian_sme,http://pbs.twimg.com/profile_images/1063071810424655872/gUdHw-i9_normal.jpg,0,0,0
1215758392603496400,@WhiteShaq3 @MapleLeafs @SanJoseSharks @FloridaPanthers @BMO @RBC @MitchMarner93 @YotesFoundation @WayneGretzky @NYRangers @NHL @clagaryflames @EdmontonOilers @cmcdavid97 @vegasknights acquire Marner and tavares from Toronto for two third round draft picks and Fleury back up SuperDragin goalie hissing egg.,Fri Jan 10 22:12:43 +0000 2020,JoDragon,JoDragon9,http://pbs.twimg.com/profile_images/1215857114456788992/1sD_zCzw_normal.jpg,0,0,0
1215757726988419000,"@WhiteShaq3 @MapleLeafs @SanJoseSharks @FloridaPanthers @BMO @RBC @MitchMarner93 @YotesFoundation @WayneGretzky @NYRangers @NHL @clagaryflames @EdmontonOilers @cmcdavid97 In the end, @EdmontonOilers get price Marner and tavareggs",Fri Jan 10 22:10:04 +0000 2020,JoDragon,JoDragon9,http://pbs.twimg.com/profile_images/1215857114456788992/1sD_zCzw_normal.jpg,0,0,0
1215757135503446000,"@WhiteShaq3 @MapleLeafs @SanJoseSharks @FloridaPanthers @BMO @RBC @MitchMarner93 @YotesFoundation @WayneGretzky @NYRangers @NHL @clagaryflames @EdmontonOilers @cmcdavid97 Maple leafs get nice bag of pucks, big bag, lots of puck. Two of them. Adds them together, get another two pucks. Call the @BMO tell them about magic pucks. @BMO steals pucks and shoot two top shelfs on Price glove hand. Price go see Roy says I'm through with you, goes to oilers",Fri Jan 10 22:07:43 +0000 2020,JoDragon,JoDragon9,http://pbs.twimg.com/profile_images/1215857114456788992/1sD_zCzw_normal.jpg,0,0,0
1215756576549564400,"@WhiteShaq3 @MapleLeafs @SanJoseSharks @FloridaPanthers @BMO @RBC @MitchMarner93 @YotesFoundation @WayneGretzky @NYRangers @NHL @clagaryflames @EdmontonOilers @cmcdavid97 Taveres and Marner land in Edmonton, say this snow like Drago sulfer, let's not go spezza and become stars.",Fri Jan 10 22:05:30 +0000 2020,JoDragon,JoDragon9,http://pbs.twimg.com/profile_images/1215857114456788992/1sD_zCzw_normal.jpg,0,0,0
1215756002504495000,@WhiteShaq3 @MapleLeafs @SanJoseSharks @FloridaPanthers @BMO @RBC @MitchMarner93 @YotesFoundation @WayneGretzky @NYRangers @NHL @clagaryflames @EdmontonOilers @cmcdavid97 Edmonton not good winter golf country... Good retirement coaching country.,Fri Jan 10 22:03:13 +0000 2020,JoDragon,JoDragon9,http://pbs.twimg.com/profile_images/1215857114456788992/1sD_zCzw_normal.jpg,0,0,0
1215755998364938200,@blakeir @RBC make this happen! #OVOxRBC,Fri Jan 10 22:03:12 +0000 2020,Ivan Ye,ivanye_,http://pbs.twimg.com/profile_images/1187067799119761410/id8ml15u_normal.jpg,0,0,0
1215755659997696000,@WhiteShaq3 @MapleLeafs @SanJoseSharks @FloridaPanthers @BMO @RBC @MitchMarner93 @YotesFoundation @WayneGretzky @NYRangers @NHL @clagaryflames @EdmontonOilers Offer really big bag of pucks and @WayneGretzky coaches @MitchMarner93 suddenly big bag of pucks. O and G country mull over offer.,Fri Jan 10 22:01:51 +0000 2020,JoDragon,JoDragon9,http://pbs.twimg.com/profile_images/1215857114456788992/1sD_zCzw_normal.jpg,0,0,0
1215755279133888500,@WhiteShaq3 @MapleLeafs @SanJoseSharks @FloridaPanthers @BMO @RBC @MitchMarner93 @YotesFoundation @WayneGretzky @NYRangers @NHL @clagaryflames @EdmontonOilers Says to oil and gas country that the knights need him to play for Reilly tonight.,Fri Jan 10 22:00:20 +0000 2020,JoDragon,JoDragon9,http://pbs.twimg.com/profile_images/1215857114456788992/1sD_zCzw_normal.jpg,0,0,0
